Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0486-DORIAN GRAY LOW GLOSS,2020-08-30 00:00:00,13,2191,U0486_AKZO,15,24251.73888,11.06879913,1,11.06879913,2191
0486-DORIAN GRAY LOW GLOSS,2020-08-31 00:00:00,9,1005.5,U0486_AKZO,2,3149.168318,3.131942634,1,3.131942634,1005.5
0486-DORIAN GRAY LOW GLOSS,2020-09-06 00:00:00,15,2610.25,U0486_AKZO,22,25854.27322,9.904903063,1,9.904903063,2610.25
0486-DORIAN GRAY LOW GLOSS,2020-09-07 00:00:00,3,358.5,U0486_AKZO,3,3941.743598,10.99510069,1,10.99510069,358.5
0486-DORIAN GRAY LOW GLOSS,2020-09-09 00:00:00,14,1783.25,U0486_AKZO,13,14296.18978,8.016929638,1,8.016929638,1783.25
0486-DORIAN GRAY LOW GLOSS,2020-09-14 00:00:00,1,150,U0486_AKZO,,,,1,87.29100221,150
0486-DORIAN GRAY LOW GLOSS,2020-09-16 00:00:00,7,1234.75,U0486_AKZO,19,23086.83221,18.6975762,1,18.6975762,1234.75
0486-DORIAN GRAY LOW GLOSS,2020-09-17 00:00:00,3,479.25,"U0486_AKZO,U0486_BECK",1,1274.419474,2.659195564,1,2.659195564,479.25
0486-DORIAN GRAY LOW GLOSS,2020-09-18 00:00:00,,,,1,962.919,,1,1.740287329,1386.884375
0486-DORIAN GRAY LOW GLOSS,2020-09-19 00:00:00,9,1429,U0486_AKZO,14,15161.91914,10.61016035,1,10.61016035,1429
0486-DORIAN GRAY LOW GLOSS,2020-09-26 00:00:00,6,946.25,U0486_AKZO,13,13908.8727,14.69894077,1,14.69894077,946.25
0486-DORIAN GRAY LOW GLOSS,2020-09-27 00:00:00,9,1289.75,U0486_AKZO,4,4013.05633,3.111499384,1,3.111499384,1289.75
0486-DORIAN GRAY LOW GLOSS,2020-10-05 00:00:00,17,2580.25,U0486_AKZO,29,32011.93552,12.40652476,1,12.40652476,2580.25
0486-DORIAN GRAY LOW GLOSS,2020-10-06 00:00:00,3,397.75,U0486_AKZO,2,1757.964,4.419771213,1,4.419771213,397.75
0486-DORIAN GRAY LOW GLOSS,2020-10-10 00:00:00,9,1703.25,U0486_AKZO,16,19556.95026,11.48213724,1,11.48213724,1703.25
0486-DORIAN GRAY LOW GLOSS,2020-10-11 00:00:00,8,1324.75,U0486_AKZO,11,11177.93374,8.437768438,1,8.437768438,1324.75
