Clave pintura,Year-Week,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion
0486-DORIAN GRAY LOW GLOSS,2020-15,27,4322,U0486_AKZO,43,48360.26778,11.18932619,1
0486-DORIAN GRAY LOW GLOSS,2020-16,15,2162.5,U0486_AKZO,20,23388.96934,10.81570836,1
0486-DORIAN GRAY LOW GLOSS,2020-19,9,1593.25,U0486_AKZO,14,17387.64523,10.91331883,1
0486-DORIAN GRAY LOW GLOSS,2020-20,13,1619.98,U0486_AKZO,19,18733.95091,11.56431,1
0486-DORIAN GRAY LOW GLOSS,2020-21,1,110,U0486_AKZO,,,,1
0486-DORIAN GRAY LOW GLOSS,2020-24,5,816.25,U0486_AKZO,4,6160.247524,7.54701075,1
0486-DORIAN GRAY LOW GLOSS,2020-26,5,887,U0486_AKZO,3,3444.734652,3.88357909,1
0486-DORIAN GRAY LOW GLOSS,2020-27,22,3785,U0486_AKZO,40,43450.52381,11.47966283,1
0486-DORIAN GRAY LOW GLOSS,2020-28,15,2350.284,U0486_AKZO,27,25928.074,11.03188976,1
0486-DORIAN GRAY LOW GLOSS,2020-29,54,7739.25,U0486_AKZO,76,82331.51655,10.63817767,1
0486-DORIAN GRAY LOW GLOSS,2020-30,33,3915,U0486_AKZO,34,34649.58307,8.850468218,1
0486-DORIAN GRAY LOW GLOSS,2020-31,12,1563.25,U0486_AKZO,21,19279.42317,12.33291103,1
0486-DORIAN GRAY LOW GLOSS,2020-32,25,3168,U0486_AKZO,37,33635.92804,10.61740153,1
0486-DORIAN GRAY LOW GLOSS,2020-33,25,3894.25,U0486_AKZO,37,35126.50975,9.02009623,1
0486-DORIAN GRAY LOW GLOSS,2020-34,46,6920.33,U0486_AKZO,81,77355.09732,11.17794922,1
0486-DORIAN GRAY LOW GLOSS,2020-35,18,2948,U0486_AKZO,28,36945.36858,12.53235027,1
0486-DORIAN GRAY LOW GLOSS,2020-36,24,3615.75,U0486_AKZO,24,29003.44154,8.021417835,1
0486-DORIAN GRAY LOW GLOSS,2020-37,17,2141.75,U0486_AKZO,16,18237.93338,8.515435217,1
0486-DORIAN GRAY LOW GLOSS,2020-38,20,3293,"U0486_AKZO,U0486_BECK",35,40486.08983,12.29459151,1
0486-DORIAN GRAY LOW GLOSS,2020-39,15,2236,U0486_AKZO,17,17921.92903,8.015173985,1
0486-DORIAN GRAY LOW GLOSS,2020-41,37,6006,U0486_AKZO,58,64504.78352,10.7400572,1
0486-DORIAN GRAY LOW GLOSS,2020-42,39,5737.5,U0486_AKZO,48,56941.39239,9.92442569,1
0486-DORIAN GRAY LOW GLOSS,2020-43,12,1921.15,U0486_AKZO,12,20384.46049,10.61055123,1
0486-DORIAN GRAY LOW GLOSS,2020-44,21,2748.75,U0486_AKZO,16,22353.4279,8.132215698,1
0486-DORIAN GRAY LOW GLOSS,2020-45,23,3510.38,U0486_AKZO,33,39163.49819,11.15648397,1
0486-DORIAN GRAY LOW GLOSS,2020-46,52,8463.51,U0486_AKZO,45,53262.70462,6.293216953,1
0486-DORIAN GRAY LOW GLOSS,2020-47,26,4093.5,U0486_AKZO,28,33206.85137,8.112092676,1
0486-DORIAN GRAY LOW GLOSS,2020-48,9,1434,U0486_AKZO,14,16984.35135,11.8440386,1
0486-DORIAN GRAY LOW GLOSS,2020-49,7,1021.16,U0486_AKZO,12,16068.7253,15.73575669,1
0486-DORIAN GRAY LOW GLOSS,2020-50,18,2781.37,U0486_AKZO,19,23536.1363,8.462065925,1
0486-DORIAN GRAY LOW GLOSS,2020-51,3,507.75,U0486_AKZO,5,6292.929339,12.39375547,1
0486-DORIAN GRAY LOW GLOSS,2021-02,5,627,U0486_AKZO,3,2963.46982,4.726427145,1
0486-DORIAN GRAY LOW GLOSS,2021-03,8,1028.44,U0486_AKZO,6,7285.956522,7.08447408,1
0486-DORIAN GRAY LOW GLOSS,2021-04,9,1454.75,U0486_AKZO,18,21942.54993,15.08338198,1
